replay_row_index,dataset_row_index,model_index,split_id,participant_id,ml_row_id,true_label,eeg_abs_alpha_central,eeg_abs_alpha_central_delta_base,eeg_abs_alpha_frontal,eeg_abs_alpha_frontal_delta_base,eeg_abs_alpha_occipital,eeg_abs_alpha_occipital_delta_base,eeg_abs_alpha_parietal,eeg_abs_alpha_parietal_delta_base,eeg_abs_alpha_temporal,eeg_abs_alpha_temporal_delta_base,eeg_abs_beta_central,eeg_abs_beta_central_delta_base,eeg_abs_beta_frontal,eeg_abs_beta_frontal_delta_base,eeg_abs_beta_occipital,eeg_abs_beta_occipital_delta_base,eeg_abs_beta_parietal,eeg_abs_beta_parietal_delta_base,eeg_abs_beta_temporal,eeg_abs_beta_temporal_delta_base,eeg_abs_delta_central,eeg_abs_delta_frontal,eeg_abs_delta_occipital,eeg_abs_delta_parietal,eeg_abs_delta_temporal,eeg_abs_highbeta_central,eeg_abs_highbeta_frontal,eeg_abs_highbeta_occipital,eeg_abs_highbeta_parietal,eeg_abs_highbeta_temporal,eeg_abs_theta_central,eeg_abs_theta_central_delta_base,eeg_abs_theta_frontal,eeg_abs_theta_frontal_delta_base,eeg_abs_theta_occipital,eeg_abs_theta_occipital_delta_base,eeg_abs_theta_parietal,eeg_abs_theta_parietal_delta_base,eeg_abs_theta_temporal,eeg_abs_theta_temporal_delta_base,eeg_frontal_alpha_asymmetry_f4_minus_f3,eeg_fz_theta_abs,eeg_fz_theta_rel,eeg_hjorth_activity_central,eeg_hjorth_activity_frontal,eeg_hjorth_activity_occipital,eeg_hjorth_activity_parietal,eeg_hjorth_activity_temporal,eeg_hjorth_complexity_central,eeg_hjorth_complexity_frontal,eeg_hjorth_complexity_occipital,eeg_hjorth_complexity_parietal,eeg_hjorth_complexity_temporal,eeg_hjorth_mobility_central,eeg_hjorth_mobility_frontal,eeg_hjorth_mobility_occipital,eeg_hjorth_mobility_parietal,eeg_hjorth_mobility_temporal,eeg_line_length_central,eeg_line_length_frontal,eeg_line_length_occipital,eeg_line_length_parietal,eeg_line_length_temporal,eeg_mav_central,eeg_mav_frontal,eeg_mav_occipital,eeg_mav_parietal,eeg_mav_temporal,eeg_mean_power_central,eeg_mean_power_frontal,eeg_mean_power_occipital,eeg_mean_power_parietal,eeg_mean_power_temporal,eeg_median_power_central,eeg_median_power_frontal,eeg_median_power_occipital,eeg_median_power_parietal,eeg_median_power_temporal,eeg_ratio_alpha_beta_central,eeg_ratio_alpha_beta_frontal,eeg_ratio_alpha_beta_occipital,eeg_ratio_alpha_beta_parietal,eeg_ratio_alpha_beta_temporal,eeg_ratio_theta_alpha_central,eeg_ratio_theta_alpha_frontal,eeg_ratio_theta_alpha_occipital,eeg_ratio_theta_alpha_parietal,eeg_ratio_theta_alpha_temporal,eeg_ratio_theta_beta_central,eeg_ratio_theta_beta_frontal,eeg_ratio_theta_beta_occipital,eeg_ratio_theta_beta_parietal,eeg_ratio_theta_beta_temporal,eeg_rel_alpha_central,eeg_rel_alpha_frontal,eeg_rel_alpha_occipital,eeg_rel_alpha_parietal,eeg_rel_alpha_temporal,eeg_rel_beta_central,eeg_rel_beta_frontal,eeg_rel_beta_occipital,eeg_rel_beta_parietal,eeg_rel_beta_temporal,eeg_rel_delta_central,eeg_rel_delta_frontal,eeg_rel_delta_occipital,eeg_rel_delta_parietal,eeg_rel_delta_temporal,eeg_rel_highbeta_central,eeg_rel_highbeta_frontal,eeg_rel_highbeta_occipital,eeg_rel_highbeta_parietal,eeg_rel_highbeta_temporal,eeg_rel_theta_central,eeg_rel_theta_frontal,eeg_rel_theta_occipital,eeg_rel_theta_parietal,eeg_rel_theta_temporal,eeg_rms_central,eeg_rms_frontal,eeg_rms_occipital,eeg_rms_parietal,eeg_rms_temporal,eeg_spectral_entropy_central,eeg_spectral_entropy_frontal,eeg_spectral_entropy_occipital,eeg_spectral_entropy_parietal,eeg_spectral_entropy_temporal,eeg_ssc_central,eeg_ssc_frontal,eeg_ssc_occipital,eeg_ssc_parietal,eeg_ssc_rate_central,eeg_ssc_rate_frontal,eeg_ssc_rate_occipital,eeg_ssc_rate_parietal,eeg_ssc_rate_temporal,eeg_ssc_temporal,eeg_var_central,eeg_var_frontal,eeg_var_occipital,eeg_var_parietal,eeg_var_temporal,eeg_zero_crossings_central,eeg_zero_crossings_frontal,eeg_zero_crossings_occipital,eeg_zero_crossings_parietal,eeg_zero_crossings_rate_central,eeg_zero_crossings_rate_frontal,eeg_zero_crossings_rate_occipital,eeg_zero_crossings_rate_parietal,eeg_zero_crossings_rate_temporal,eeg_zero_crossings_temporal
0,154,0,within_sub-001_holdout01,sub-001,eeg_row-000182,low_1_2_3,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,-0.246079722,0,0.15146057600000001,0,0,0,0,0,1.8809545219999999,2.4129939070000002,1.9085219470000001,2.0077489650000002,2.127886234,0.31360596899999998,0.239622736,0.28865983000000001,0.29760688699999999,0.26628438700000001,2.3520000000000001e-06,3.0400000000000001e-06,3.0280000000000001e-06,2.4140000000000001e-06,2.8200000000000001e-06,7.5469999999999999e-06,1.3053e-05,1.0363000000000001e-05,8.3839999999999997e-06,1.0643e-05,0,0,0,0,0,0,0,0,0,0,0.702101804,1.1124709049999999,0.83095892000000005,0.98683611000000004,1.229646617,1.4109028050000001,2.876258999,1.3382957040000001,1.6175114770000001,1.5224658369999999,0.99059740500000004,3.1997544530000002,1.112068754,1.596218734,1.8720949659999999,0.14728440700000001,0.079624174000000006,0.15243558199999999,0.148765919,0.138581759,0.20977642599999999,0.071574162999999996,0.18344538799999999,0.15075038099999999,0.11270047599999999,0.30944316700000002,0.49901125299999999,0.35958251400000002,0.34333279700000002,0.41856009199999999,0.021353099,0.0088357899999999996,0.016559001,0.017687563999999999,0.011459584,0.207803983,0.229019748,0.204003884,0.24063058200000001,0.21098599400000001,9.9410000000000002e-06,1.8219999999999998e-05,1.3178e-05,1.0821e-05,1.4134999999999999e-05,0.79668855000000005,0.70288419599999996,0.78270833299999998,0.78267567699999996,0.74653989300000001,141.33333333300001,136.85714285700001,126.5,143,0.18894830700000001,0.18296409499999999,0.16911764700000001,0.19117647099999999,0.17914438499999999,134,0,0,0,0,0,73,59.428571429000002,68.5,68.333333332999999,0.097463283999999997,0.079343887000000002,0.091455274000000003,0.091232754999999999,0.085447262999999996,64
1,118,0,within_sub-001_holdout01,sub-001,eeg_row-000140,high_4_5_6,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,1.4463423419999999,0,0.051503671000000001,0,0,0,0,1.0000000000000001e-09,1.437207071,1.7763510979999999,1.900510924,1.6788204600000001,1.487469591,0.51074752000000001,0.41989014699999999,0.36531145999999998,0.44324769800000002,0.51538422699999997,5.6389999999999997e-06,5.3700000000000003e-06,4.2019999999999997e-06,4.216e-06,7.605e-06,1.1457000000000001e-05,1.2928000000000001e-05,1.1592e-05,1.0427e-05,1.5494000000000001e-05,0,0,0,0,1.0000000000000001e-09,0,0,0,0,0,0.22463366300000001,0.396671512,0.63128578300000004,0.40381729199999999,0.199865602,0.30487029300000001,0.59321906599999996,0.75035693999999997,0.423347468,0.39774316399999998,0.068484131000000004,0.235313104,0.47368966800000001,0.17095502800000001,0.079495177,0.11692743,0.134947175,0.132794931,0.145948989,0.099981555999999999,0.52052496699999995,0.34019880600000002,0.210356284,0.36142332799999999,0.500243938,0.081834804999999997,0.25046593299999997,0.44372630800000001,0.21543738300000001,0.087699780000000005,0.20456026199999999,0.13408329799999999,0.051011368000000001,0.15556368300000001,0.24200313300000001,0.035647699999999997,0.080053236999999999,0.099643598,0.061787135,0.03976698,1.5950000000000001e-05,1.7569000000000001e-05,1.5780000000000001e-05,1.4039999999999999e-05,2.2461999999999999e-05,0.90404850800000003,0.84030643800000004,0.79840198299999998,0.85675513999999997,0.885590027,157.66666666699999,160.42857142899999,153.5,148.66666666699999,0.210784314,0.21447669999999999,0.205213904,0.198752228,0.225935829,169,0,0,0,0,1.0000000000000001e-09,104.333333333,92.857142856999999,86,95.666666667000001,0.13929684000000001,0.123974824,0.11481976000000001,0.127725857,0.13451268399999999,100.75
2,151,0,within_sub-001_holdout01,sub-001,eeg_row-000179,low_1_2_3,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,-0.40254152399999998,0,0.23095760200000001,0,0,0,0,0,1.7796977940000001,2.3277872980000001,2.1887528289999998,2.1989979229999999,2.0893926390000002,0.32004262,0.24551911100000001,0.25583449899999999,0.25448571800000003,0.26602737199999998,2.3e-06,2.9280000000000002e-06,2.9440000000000001e-06,2.402e-06,2.672e-06,7.2200000000000003e-06,1.1477e-05,1.0256e-05,8.9060000000000008e-06,9.4259999999999992e-06,0,0,0,0,0,0,0,0,0,0,1.126038533,0.92727341600000002,0.718507389,0.658009544,0.98444610399999999,0.72521132099999996,1.897571844,1.999664959,1.408761183,1.251728103,0.81661589300000004,1.7595679259999999,1.436774048,0.92697830299999995,1.232258855,0.26033867900000002,0.12698271799999999,0.14159803800000001,0.12753162500000001,0.17716194099999999,0.23119872999999999,0.13694204500000001,0.19707248699999999,0.19381424899999999,0.17996103699999999,0.20709575,0.36356965699999999,0.24298516100000001,0.379794996,0.307829297,0.016123403000000001,0.018429474000000001,0.019947455999999999,0.016994958000000001,0.020990216999999999,0.18880055700000001,0.24095883000000001,0.28314863600000001,0.179661603,0.22175858100000001,9.4690000000000003e-06,1.7479999999999999e-05,1.4554e-05,1.2865e-05,1.2751999999999999e-05,0.826327857,0.77989453399999997,0.82155047999999997,0.80067177499999997,0.80180027799999998,136.66666666699999,139.57142857100001,135,137.33333333300001,0.182709447,0.18659281899999999,0.18048128299999999,0.183600713,0.18482620299999999,138.25,0,0,0,0,0,77.333333332999999,68.285714286000001,74,71.333333332999999,0.103248776,0.091169178000000003,0.098798397999999996,0.095238094999999995,0.097797063000000004,73.25
3,105,0,within_sub-001_holdout01,sub-001,eeg_row-000127,low_1_2_3,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,-0.83046866799999997,0,0.220396442,0,1.0000000000000001e-09,0,0,0,1.8314713,2.6124323860000001,2.6362238549999999,2.3321557089999998,2.4196739250000001,0.32832830699999999,0.219367483,0.20305568900000001,0.24106444899999999,0.23428400299999999,2.311e-06,3.1599999999999998e-06,2.9040000000000001e-06,2.6170000000000001e-06,2.7930000000000002e-06,7.1940000000000001e-06,1.4578e-05,1.2578000000000001e-05,1.0047000000000001e-05,1.1612e-05,0,1.0000000000000001e-09,0,0,0,0,0,0,0,0,0.756536176,1.090228768,1.3054252040000001,1.4022253140000001,1.37885229,1.068248584,1.868785535,1.079227486,0.48203343900000001,1.116106552,0.80816869800000002,2.0374037509999998,1.4088507619999999,0.67591949100000004,1.5389460749999999,0.18681550699999999,0.092621423999999994,0.15947281499999999,0.24664506899999999,0.15361818399999999,0.24693532600000001,0.084955953000000001,0.122161588,0.175895461,0.111410182,0.253553313,0.56160754000000002,0.46585586099999998,0.36791991200000002,0.45688395999999998,0.034564797000000001,0.010167485,0.011994347000000001,0.017593081999999999,0.01199718,0.199565401,0.17308957699999999,0.172107446,0.118891171,0.171454262,9.1449999999999997e-06,2.2078000000000001e-05,1.859e-05,1.4235e-05,1.6096999999999999e-05,0.844591384,0.72279316100000002,0.75553792399999997,0.79653616299999996,0.74814695899999994,144,137.714285714,131,136,0.19251336899999999,0.18411000799999999,0.17513369000000001,0.18181818199999999,0.184491979,138,0,1.0000000000000001e-09,0,0,0,81.333333332999999,63.428571429000002,61,72.333333332999999,0.10858922999999999,0.084684340999999996,0.081441922999999999,0.096573208999999993,0.086114819999999995,64.5
4,28,0,within_sub-001_holdout01,sub-001,eeg_row-000029,high_4_5_6,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,-0.090989375999999997,0,0.38760361500000001,0,0,0,0,0,1.663746261,2.0017866560000002,1.97435323,1.8175391249999999,1.8582565769999999,0.37488492600000001,0.30367381900000001,0.29410401600000002,0.32624528400000002,0.32617227300000001,2.3039999999999999e-06,2.6989999999999999e-06,2.5550000000000001e-06,2.0600000000000002e-06,2.6869999999999999e-06,6.156e-06,9.3379999999999994e-06,8.7490000000000004e-06,6.5560000000000004e-06,8.3080000000000008e-06,0,0,0,0,0,0,0,0,0,0,0.554499513,0.71769011800000004,0.76198328500000001,1.007252271,0.78733670099999997,1.113452281,1.8245624460000001,1.6759061850000001,0.71129017100000003,1.427103504,0.61740874800000001,1.3094704370000001,1.277012501,0.71644863999999997,1.1236109649999999,0.19082975599999999,0.140937537,0.172795857,0.28506641999999999,0.195294261,0.34414774300000001,0.19637658799999999,0.22677119000000001,0.28301392600000003,0.24804414799999999,0.10991542999999999,0.25665121600000002,0.18833386599999999,0.11833523999999999,0.14734897199999999,0.055300033999999998,0.027778128999999999,0.023261504999999998,0.032032486999999998,0.031762977999999997,0.21247982700000001,0.25714933699999998,0.28958964500000001,0.202764942,0.27870512400000003,7.8420000000000005e-06,1.1992e-05,1.0939e-05,8.2099999999999993e-06,1.0657e-05,0.874196741,0.79662975300000005,0.80742497099999999,0.85168286199999998,0.84363744100000004,146,147.14285714299999,139,142,0.195187166,0.19671505,0.185828877,0.18983957200000001,0.19618984,146.75,0,0,0,0,0,91.666666667000001,70.428571429000002,66,75.333333332999999,0.122385403,0.094030135000000001,0.088117490000000007,0.100578549,0.103137517,77.25
5,9,0,within_sub-001_holdout01,sub-001,eeg_row-000010,baseline,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0.115232562,0,0.21318487899999999,0,1.0000000000000001e-09,0,0,0,2.0202624899999999,2.641296621,2.3803781800000001,2.389408253,2.4217129370000001,0.30353649700000002,0.21918695099999999,0.22768898100000001,0.23800529200000001,0.238672515,2.2419999999999999e-06,3.0139999999999999e-06,3.0149999999999999e-06,2.2259999999999999e-06,2.8449999999999999e-06,7.3390000000000004e-06,1.4025999999999999e-05,1.2378000000000001e-05,8.6219999999999998e-06,1.1287999999999999e-05,0,1.0000000000000001e-09,0,0,0,0,0,0,0,0,0.66011001199999997,1.0265490340000001,1.4494177340000001,0.92317431500000002,1.204579992,1.436079753,3.0802846150000001,1.9946685900000001,1.9717141499999999,1.563738504,0.94797062300000001,3.1620631970000002,2.8911080280000001,1.8202358599999999,1.883648115,0.13931643599999999,0.065769405000000003,0.13062146399999999,0.117359216,0.12983783500000001,0.21105033000000001,0.064068449999999999,0.090119957000000001,0.12712573799999999,0.10778681,0.37213144599999998,0.57046509700000003,0.39567762299999998,0.41831490999999998,0.44071284900000002,0.027378844999999999,0.0097326459999999993,0.0127916,0.015739138,0.016796293,0.200069513,0.20258848600000001,0.260546532,0.231398826,0.20303242199999999,9.4199999999999996e-06,2.1053e-05,1.7351e-05,1.2184999999999999e-05,1.5553000000000002e-05,0.7953597,0.70810600899999998,0.75531912800000001,0.75766770000000006,0.73906751400000004,144,145.14285714299999,136.5,135,0.19251336899999999,0.194041253,0.18248663100000001,0.18048128299999999,0.197860963,148,0,1.0000000000000001e-09,0,0,0,77.666666667000001,63.142857143000001,66,68.666666667000001,0.103693814,0.084302879999999997,0.088117490000000007,0.091677792999999994,0.088451268,66.25
6,75,0,within_sub-001_holdout01,sub-001,eeg_row-000097,high_4_5_6,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,-0.38571745200000002,0,0.065724515999999997,0,0,0,0,0,1.503212776,1.723648643,1.617272118,1.5936104200000001,1.651214271,0.37841695199999997,0.33644022600000001,0.31656680300000001,0.35123116199999999,0.33174388799999999,3.2200000000000001e-06,3.518e-06,3.377e-06,3.084e-06,3.2289999999999999e-06,8.653e-06,1.0711e-05,1.0678e-05,9.0159999999999997e-06,9.6760000000000002e-06,0,0,0,0,0,0,0,0,0,0,1.1067563629999999,1.181367938,2.5560972529999999,1.31149505,1.5572243020000001,0.29820622000000002,0.75552777699999996,0.235719977,0.54608519700000002,0.48588297200000002,0.330041631,0.89255629199999997,0.60252318500000002,0.716188033,0.756628772,0.37500942500000001,0.21747978000000001,0.43270224200000001,0.30407577899999999,0.33806845699999999,0.33883647500000003,0.184091487,0.16928238600000001,0.23185430900000001,0.21709682799999999,0.10209217600000001,0.32741324199999999,0.19659706099999999,0.208783203,0.176278143,0.01852469,0.017545455000000001,0.015735411000000001,0.011562016,0.018078832999999999,0.11183014300000001,0.16431201500000001,0.101996562,0.16605128199999999,0.16426170700000001,1.1165999999999999e-05,1.3884e-05,1.3543000000000001e-05,1.1311999999999999e-05,1.2452999999999999e-05,0.83282074900000003,0.80471043099999995,0.78217830300000002,0.82768435399999996,0.83574366700000002,135.33333333300001,138.285714286,127.5,127.333333333,0.18092691599999999,0.18487395000000001,0.17045454500000001,0.170231729,0.18248663100000001,136.5,0,0,0,0,0,85.666666667000001,80.571428570999998,77.5,76.666666667000001,0.114374722,0.107572001,0.103471295,0.1023587,0.10781041399999999,80.75
7,46,0,within_sub-001_holdout01,sub-001,eeg_row-000056,high_4_5_6,0,-0,0,-0,0,-0,0,-0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,-0.28684203699999999,0,0.265521601,0,0,0,0,0,1.8140875089999999,2.2623447589999999,1.9259719319999999,1.967097272,2.0334219,0.35217722899999998,0.26680131899999998,0.287746214,0.30484950599999999,0.30593569399999998,2.3460000000000001e-06,2.8629999999999999e-06,2.802e-06,2.2350000000000002e-06,3.315e-06,6.8129999999999998e-06,1.1086e-05,9.4930000000000004e-06,7.5510000000000002e-06,1.0756e-05,0,0,0,0,0,0,0,0,0,0,0.57055415799999998,1.1440738939999999,1.4276657290000001,0.99751255100000003,1.300333406,1.9954800109999999,1.5095083060000001,0.73996092700000005,1.142851719,1.2356745220000001,1.138529417,1.7269890450000001,1.056416856,1.1400089330000001,1.60678886,0.15733539899999999,0.132003124,0.23708600299999999,0.174891937,0.18963090299999999,0.27575892099999999,0.115379893,0.16606548600000001,0.17532805600000001,0.14583252399999999,0.12992378199999999,0.44367290500000001,0.294654254,0.29462811799999999,0.268814728,0.042425439000000002,0.019662501999999998,0.017541194999999999,0.022703491999999999,0.034673379999999997,0.31395964300000001,0.19925981200000001,0.175434379,0.19987555100000001,0.23432207499999999,8.4400000000000005e-06,1.4555e-05,1.2305e-05,9.6670000000000008e-06,1.3746e-05,0.855802642,0.752625718,0.80034644399999999,0.79258287500000002,0.77918422700000001,150.33333333300001,143.42857142899999,136,142,0.20098039200000001,0.191749427,0.18181818199999999,0.18983957200000001,0.202205882,151.25,0,0,0,0,0,81.666666667000001,65.285714286000001,76.5,68.333333332999999,0.109034268,0.087163836999999994,0.10213618200000001,0.091232754999999999,0.096461949000000005,72.25
8,87,0,within_sub-001_holdout01,sub-001,eeg_row-000109,high_4_5_6,0,0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,-0,0.10425686300000001,0,0.2713797,0,0,0,0,0,1.6547311119999999,2.1016806469999998,2.1792809009999998,1.984525404,2.0829063140000001,0.348046882,0.276158442,0.246201844,0.28117088400000001,0.26040822499999999,3.0259999999999999e-06,3.3189999999999999e-06,3.05e-06,2.785e-06,3.1839999999999999e-06,8.5809999999999997e-06,1.1773000000000001e-05,1.1537e-05,9.5489999999999995e-06,1.1824000000000001e-05,0,0,0,0,0,0,0,0,0,0,0.507752392,1.3183873930000001,0.660646803,1.0639394,0.86376286199999996,1.117185235,3.2526381020000001,5.0025806810000004,1.6675045559999999,1.9799007639999999,0.56725347599999998,4.2882370669999998,3.304938935,1.7741237969999999,1.710164749,0.151384408,0.089379705000000004,0.061562575000000001,0.149159393,0.102080584,0.29814612400000001,0.067794721000000002,0.093185305999999996,0.14019538400000001,0.118181261,0.28533702599999999,0.44451131900000002,0.45011741599999999,0.348786706,0.44723786799999998,0.019191237,0.0079757679999999994,0.0082855150000000002,0.010963771000000001,0.0084136490000000005,0.16912442499999999,0.29071983400000001,0.30797174700000002,0.24872396799999999,0.20210942700000001,1.0953e-05,1.7374999999999999e-05,1.5803000000000001e-05,1.2644e-05,1.5685999999999999e-05,0.81304746800000005,0.74996278000000005,0.70663364399999995,0.762147782,0.71380238799999995,135.66666666699999,139,125.5,135.33333333300001,0.18137254899999999,0.185828877,0.16778074900000001,0.18092691599999999,0.17045454500000001,127.5,0,0,0,0,0,91.333333332999999,73,63.5,76.333333332999999,0.121940365,0.097463283999999997,0.084779705999999996,0.101913663,0.093791721999999994,70.25
9,12,0,within_sub-001_holdout01,sub-001,eeg_row-000013,baseline,0,0,0,-0,0,0,0,-0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,-0.44312340500000003,0,0.232545538,0,0,0,0,0,1.6584524300000001,2.0537336819999998,1.7711802240000001,1.7332006230000001,1.8934931349999999,0.36031089300000002,0.28894368300000001,0.317759917,0.32974835600000002,0.30589398600000001,2.8669999999999998e-06,3.2959999999999999e-06,3.2490000000000001e-06,2.4739999999999999e-06,3.2329999999999998e-06,8.0649999999999999e-06,1.1773999999999999e-05,1.0281e-05,7.7000000000000008e-06,1.0539e-05,0,0,0,0,0,0,0,0,0,0,1.1089878959999999,1.2544152200000001,1.6129079479999999,1.0824712009999999,1.6465207289999999,0.47259024199999999,1.1494098109999999,0.952734521,0.62870196,0.83817735800000004,0.52409685900000003,1.4418371619999999,1.536673081,0.680551766,1.3800763949999999,0.30625347600000002,0.178398944,0.29199803600000002,0.25093781700000001,0.28082974100000002,0.27615583199999999,0.14221681999999999,0.18103825200000001,0.23181939400000001,0.17055949300000001,0.15892472399999999,0.36293799799999998,0.114087283,0.278872383,0.19271606599999999,0.025407098999999999,0.023915760000000001,0.027496162000000001,0.024388736000000001,0.025270337,0.14473240400000001,0.205053496,0.27819660899999998,0.15776509799999999,0.23538513,1.0084999999999999e-05,1.5081e-05,1.2850999999999999e-05,9.7030000000000001e-06,1.3319000000000001e-05,0.82400662199999997,0.78638335500000001,0.82325468800000001,0.83633576099999996,0.80527031199999999,143.33333333300001,140.85714285700001,133,136.33333333300001,0.19162210299999999,0.188311688,0.17780748699999999,0.182263815,0.19318181800000001,144.5,0,0,0,0,0,85,68.428571429000002,73,75,0.11348464599999999,0.091359908000000004,0.097463283999999997,0.10013351099999999,0.095126836000000006,71.25
